Origem,Destino,Distancia
ACRELANDIA,ACRELANDIA,0.0
ACRELANDIA,ASSIS BRASIL,429.9464639381121
ACRELANDIA,BRASILEIA,327.5941378831035
ACRELANDIA,BUJARI,158.27238019951872
ACRELANDIA,CAPIXABA,162.16653976082438
ACRELANDIA,CRUZEIRO DO SUL,919.7892431868668
ACRELANDIA,EPITACIOLANDIA,328.4113430949873
ACRELANDIA,FEIJO,571.6437315359003
ACRELANDIA,JORDAO,742.304285502342
ACRELANDIA,MANCIO LIMA,951.408567963082
ACRELANDIA,MANOEL URBANO,382.58571608132587
ACRELANDIA,MARECHAL THAUMATURGO,885.1990663942918
ACRELANDIA,PLACIDO DE CASTRO,78.45933055365305
ACRELANDIA,PORTO ACRE,102.70471580637727
ACRELANDIA,PORTO WALTER,899.7086263676491
ACRELANDIA,RIO BRANCO,139.35953737952173
ACRELANDIA,RODRIGUES ALVES,909.7220639216443
ACRELANDIA,SANTA ROSA DO PURUS,537.4744913376591
ACRELANDIA,SENA MADUREIRA,285.85294578680436
ACRELANDIA,SENADOR GUIOMARD,135.0748213161044
ACRELANDIA,TARAUACA,626.9118141130353
ACRELANDIA,XAPURI,269.8025533228371
ACRELANDIA,AGUA BRANCA,4285.196228503416
ACRELANDIA,ANADIA,4522.61975035444
ACRELANDIA,ARAPIRACA,4468.89948631987
ACRELANDIA,ATALAIA,4565.454065609309
ACRELANDIA,BARRA DE SANTO ANTONIO,4643.197673549438
ACRELANDIA,BARRA DE SAO MIGUEL,4580.556325555768
ACRELANDIA,BATALHA,4401.507194032042
ACRELANDIA,BELEM,4495.401825541194
ACRELANDIA,BELO MONTE,4376.793391621497
ACRELANDIA,BOCA DA MATA,4534.7516812460235
ACRELANDIA,BRANQUINHA,4569.2886817570015
ACRELANDIA,CACIMBINHAS,4422.919937256661
ACRELANDIA,CAJUEIRO,4547.195284478093
ACRELANDIA,CAMPESTRE,4640.054622442717
ACRELANDIA,CAMPO ALEGRE,4514.4918984363885
ACRELANDIA,CAMPO GRANDE,4448.3415355590505
ACRELANDIA,CANAPI,4335.347251496351
ACRELANDIA,CAPELA,4558.932884788572
ACRELANDIA,CARNEIROS,4366.056618792009
ACRELANDIA,CHA PRETA,4527.791890752265
ACRELANDIA,COITE DO NOIA,4483.101325592484
ACRELANDIA,COLONIA LEOPOLDINA,4615.712648312105
ACRELANDIA,COQUEIRO SECO,4596.902896760633
ACRELANDIA,CORURIPE,4538.899604260848
ACRELANDIA,CRAIBAS,4455.175436443239
ACRELANDIA,DELMIRO GOUVEIA,4275.244121933377
ACRELANDIA,DOIS RIACHOS,4406.744744799176
ACRELANDIA,ESTRELA DE ALAGOAS,4457.01222447682
ACRELANDIA,FEIRA GRANDE,4466.3897158536065
ACRELANDIA,FELIZ DESERTO,4518.808750839254
ACRELANDIA,FLEXEIRAS,4613.357626691037
ACRELANDIA,GIRAU DO PONCIANO,4444.359861394906
ACRELANDIA,IBATEGUARA,4583.884644422966
ACRELANDIA,IGACI,4475.034185840306
ACRELANDIA,IGREJA NOVA,4466.539042713123
ACRELANDIA,INHAPI,4312.284988193052
ACRELANDIA,JACARE DOS HOMENS,4389.9863185479035
ACRELANDIA,JACUIPE,4654.844412859029
ACRELANDIA,JAPARATINGA,4683.274049860407
ACRELANDIA,JARAMATAIA,4419.393920598028
ACRELANDIA,JOAQUIM GOMES,4610.301594238067
ACRELANDIA,JUNDIA,4637.5631860396115
ACRELANDIA,JUNQUEIRO,4495.806161424458
ACRELANDIA,LAGOA DA CANOA,4457.993215515523
ACRELANDIA,LIMOEIRO DE ANADIA,4492.615943357017
ACRELANDIA,MACEIO,4607.011212980885
ACRELANDIA,MAJOR ISIDORO,4423.297105703665
ACRELANDIA,MAR VERMELHO,4512.752183645397
ACRELANDIA,MARAGOGI,4688.451596259082
ACRELANDIA,MARAVILHA,4371.244237719366
ACRELANDIA,MARECHAL DEODORO,4582.981373221359
ACRELANDIA,MARIBONDO,4523.485433736263
ACRELANDIA,MATA GRANDE,4316.222061488954
ACRELANDIA,MATRIZ DE CAMARAGIBE,4641.151542745065
ACRELANDIA,MESSIAS,4593.114899278845
ACRELANDIA,MINADOR DO NEGRAO,4443.041727442707
ACRELANDIA,MONTEIROPOLIS,4384.30589185725
ACRELANDIA,MURICI,4579.067768218654
ACRELANDIA,NOVO LINO,4627.432621552527
ACRELANDIA,OLHO D'AGUA DAS FLORES,4377.471818994584
ACRELANDIA,OLHO D'AGUA DO CASADO,4297.88751151001
ACRELANDIA,OLHO D'AGUA GRANDE,4444.782857063866
ACRELANDIA,OLIVENCA,4392.417850280368
ACRELANDIA,OURO BRANCO,4371.921383321838
ACRELANDIA,PALESTINA,4371.947834602197
ACRELANDIA,PALMEIRA DOS INDIOS,4477.621760555516
ACRELANDIA,PAO DE ACUCAR,4355.181535484671
ACRELANDIA,PARICONHA,4274.938213422189
ACRELANDIA,PARIPUEIRA,4635.273602632607
ACRELANDIA,PASSO DE CAMARAGIBE,4646.271757294191
ACRELANDIA,PAULO JACINTO,4514.940153232737
ACRELANDIA,PENEDO,4477.474477431549
ACRELANDIA,PIACABUCU,4499.114140788467
ACRELANDIA,PILAR,4575.054584351303
ACRELANDIA,PINDOBA,4525.79793289326
ACRELANDIA,PIRANHAS,4308.767892086372
ACRELANDIA,POCO DAS TRINCHEIRAS,4380.848731684109
ACRELANDIA,PORTO CALVO,4662.991982984189
ACRELANDIA,PORTO DE PEDRAS,4676.639429538886
ACRELANDIA,PORTO REAL DO COLEGIO,4439.636444049685
ACRELANDIA,QUEBRANGULO,4500.613021739052
ACRELANDIA,RIO LARGO,4590.840378049515
ACRELANDIA,ROTEIRO,4570.284259345748
ACRELANDIA,SANTA LUZIA DO NORTE,4594.187467831876
ACRELANDIA,SANTANA DO IPANEMA,4386.2225342625015
ACRELANDIA,SANTANA DO MUNDAU,4539.02128710817
ACRELANDIA,SAO BRAS,4431.096196763358
ACRELANDIA,SAO JOSE DA LAJE,4565.707979892593
ACRELANDIA,SAO JOSE DA TAPERA,4364.006518054172
ACRELANDIA,SAO LUIS DO QUITUNDE,4635.155991875079
ACRELANDIA,SAO MIGUEL DOS CAMPOS,4552.9099634748
ACRELANDIA,SAO MIGUEL DOS MILAGRES,4663.723179923305
ACRELANDIA,SAO SEBASTIAO,4483.923165745524
ACRELANDIA,SATUBA,4594.51415177334
ACRELANDIA,SENADOR RUI PALMEIRA,4347.95840792689
ACRELANDIA,TANQUE D'ARCA,4504.597678310039
